Класс,Дисциплина,Блок дисциплин,Библиографическая ссылка
8,география,естественно-научный блок,"География. 8 класс : учеб, для общеобразоват. организаций / [А. И. АлекГ35 сеев, В. В. Николина, Е. К. Липкина и др.]. — 6-е изд. — М. : Просвещение, 2018. — 255 с. : ил., карт. — (Полярная звезда).
ISBN 978-5-09057310-8."
8,история,социальный блок,"История. История России. XVIII — начало XIX в. 8 класс : учебник / В. Р. Мединский, А. В. Торкунов. — Москва : Просвещение, 2026. — 384 с. — ISBN 978-5-09-138004-0."
8,история,социальный блок,"История. Всеобщая история. История Нового времени. XVIII — начало XIX в. 8 класс : учебник / В. Р. Мединский, А. О. Чубарьян. — Москва : Просвещение, 2026. — 240 с. — ISBN 978-5-09-137985-3."
8,литература,филологический блок,"Литература. 8 класс : учебник для общеобразовательных организаций с приложением на электронном носителе : в 2 ч. / В. Я. Коровина, В. П. Журавлев, В. И. Коровин. — 3-е изд. — Москва : Просвещение, 2017."
8,математика,математический блок,"Математика. Алгебра : 8-й класс : базовый уровень : учебник / Ю. Н. Макарычев, Н. Г. Миндюк, К. И. Пешков,
С. Б. Суворова; под ред. С. А. Теляковского. — 16-е изд.,
перераб. — Москва : Просвещение, 2023. — 319, [1] с. : ил.
ISBN 978-5-09-102536-1."
8,математика,математический блок,"Геометрия. 7 9 классы : учеб, для общеобразоват. оргаГ36 низаций с прил. на электрон, носителе / [Л. С. Атанасян,
В. Ф. Бутузов, С. Б. Кадомцев и др.]. 3-е изд. М. :
Просвещение, 2014. 383 с.: ил. Ӏ8ВЫ 978-5-09-033352-8."
8,обществознание,социальный блок,"Обществознание : 8-й класс : учебник / Л. Н. Боголюбов, Н. И. Городецкая,
Л. Ф. Иванова [и др.]. — Москва : Просвещение, 2023. — 208 с. : ил.
ISBN 978-5-09-102330-5."
8,русский язык,филологический блок,"Русский язык. 8 класс: учеб, для общеобразоват. организаций / С. Г. Бархударов и др. — 2-е изд. — М.: Просвещение, 2020. — 271 с. : [4] л. ил.: ил."
8,физика,естественно-научный блок,"Физика. 8 класс : учебник / А. В. Перышкин. — 7-е изд., стер. — Москва : Дрофа, 2019. — 238, [1] с. : ил., цв. ил., портр., табл."
8,химия,естественно-научный блок,"Химия. 8 класс : учеб, для общеобразоват. учреждений /
О.С. Габриелян. — 2-еизд., стереотип. — М.: Дрофа, 2013. —
286, [2] с. : ил. ISBN 978-5-358-11646-7"
9,биология,естественно-научный блок,"Биология. 9 класс : учеб. для общеобразоват. организаций : [В. В. Пасечник, А. А. Каменский, Г. Г. Швецов, З. Г. Гапонюк] ; под ред. В. В. Пасечника. — 9-е изд., стер. — Москва : Просвещение, 2022. — 208 с.: ил. — (Линия жизни). ISBN 978-5-09-101331-3 (электр. изд.)."
9,география,естественно-научный блок,"География. Россия. 9 класс : учебник для общеобразовательных организаций / А. И. Алексеев, В. В. Николина, Е. К. Липкина и др. ; под ред. А. И. Алексеева. — 6-е изд. — Москва : Просвещение, 2018."
9,история,социальный блок,"История. История России. 1825—1914 гг. 9 класс : учебник / В. Р. Мединский, А. В. Торкунов. — Москва : Просвещение, 2026. — 384 с. — ISBN 978-5-09-138007-1."
9,история,социальный блок,"История. Всеобщая история. История Нового времени. XIX — начало XX в. 9 класс : учебник / В. Р. Мединский, А. О. Чубарьян. — Москва : Просвещение, 2026. — 288 с. — ISBN 978-5-09-134758-6."
9,литература,филологический блок,"Литература. 9 класс. Учеб, для общеобразоват.
Л64 учреждений с прил. на электрон, носителе. В 2 ч. Ч. 1 /
[В. Я. Коровина, В. П. Журавлев, В. И. Коровин,
И. С. Збарский]; под ред. В. Я. Коровиной.— 20-е
изд.— М. : Просвещение, 2013.— 399 с."
9,математика,математический блок,"Математика. Алгебра : 9-й класс : базовый уровень : учебник /
 Ю. Н. Макарычев, Н. Г. Миндюк, К. И. Пешков, С. Б. Суворова ; под
ред. С. А.Теляковского. — 15-е изд., перераб. — Москва: Просвещение, 2023. — 255, [1] с.: ил.
ISBN 978-5-09-102537-8."
9,обществознание,социальный блок,"Обществознание : 9-й класс : учебник / Л. Н. Боголюбов,
0-28 А. Ю. Лазебникова, И. А. Лобанов [и др.]. — Москва : Просвещение, 2023. — 208 с. : ил., карты.
ISBN 978-5-09-102331-2."
9,русский язык,филологический блок,"Русский язык. 9 класс: учеб. для общеобразоват. организаций / С. Г. Бархударов и др. — М.: Просвещение, 2019. — 255 с. : [4] л. ил.: ил."
9,физика,естественно-научный блок,"Физика. 9 класс : учебник / А. В. Перышкин, Е. М. Гутник. — 6-е изд., стер. — Москва : Дрофа, 2019. — 319, [1] с."
9,химия,естественно-научный блок,"Габриелян, О. С. Химия. 9 класс : учебник / О. С. Габриелян. — 2-е изд.,
стереотип. — М. : Дрофа, 2014. — 319, [1] с. : ил.
ISBN 978-5-358-13386-0"
